User ID,Initial Power Consumption,Resource Reduction,Updated Power Consumption,Bid Amount,Power Saved
1252,62,261,112,1674,0
201,11,20,0,33,11
222,32,197,92,480,0
132,42,144,0,798,42
952,62,313,24,1674,38
142,52,265,20,1196,32
161,71,467,57,1065,14
882,92,495,166,3588,0
1582,92,1066,18,3588,74
172,82,170,66,2870,16
61,71,116,157,1065,0
162,72,662,28,2232,44
1602,12,12,30,84,0
491,101,1277,0,2121,101
241,51,339,0,561,51
1530,40,48,0,0,40
1701,11,10,0,33,11
190,100,806,40,0,60
581,91,1562,146,1729,0
121,31,132,12,217,19
841,51,424,31,561,20
580,90,1125,72,0,18
122,32,211,52,480,0
820,30,184,18,0,12
791,101,1606,81,2121,20
801,11,20,27,33,0
1280,90,1560,234,0,0
471,81,1128,16,1377,65
1831,41,189,83,369,0
860,70,990,56,0,14
1800,10,21,24,0,0
1741,51,296,144,561,0
1861,71,700,200,1065,0
681,91,632,0,1729,91
1010,20,49,32,0,0
441,51,190,61,561,0
1360,70,396,0,0,70
481,91,706,73,1729,18
671,81,1427,16,1377,65
851,61,403,185,793,0
901,11,20,0,33,11
1511,21,36,0,105,21
951,61,680,147,793,0
1191,101,164,203,2121,0
1300,10,12,0,0,10
1891,101,1895,81,2121,20
1631,41,258,116,369,0
1641,51,360,92,561,0
1651,61,680,172,793,0
191,101,1277,0,2121,101
1480,90,1706,0,0,90
41,51,551,0,561,51
1750,60,534,0,0,60
1911,21,92,0,105,21
181,91,1301,275,1729,0
81,91,892,73,1729,18
1681,91,855,0,1729,91
932,42,380,94,798,0
1711,21,82,38,105,0
1022,32,169,12,480,20
812,22,70,4,242,18
1761,71,817,99,1065,0
251,61,579,0,793,61
1072,82,784,0,2870,82
12,22,70,0,242,22
800,10,4,0,0,10
982,92,381,204,3588,0
1771,81,1128,163,1377,0
720,30,110,0,0,30
1202,12,30,30,84,0
1731,41,361,8,369,33
1172,82,1057,215,2870,0
790,100,1934,200,0,0
1262,72,301,189,2232,0
1232,42,162,94,798,0
1062,72,301,14,2232,58
1821,31,145,0,217,31
1851,61,831,0,793,61
1120,30,98,0,0,30
961,71,438,215,1065,0
291,101,2060,203,2121,0
1053,63,297,50,2646,13
1133,43,380,133,1290,0
1263,73,620,0,3504,73
1533,43,76,61,1290,0
1563,73,1240,0,3504,73
1363,73,62,0,3504,73
1871,81,33,130,1377,0
1201,11,26,0,33,11
1901,11,26,0,33,11
741,51,381,20,561,31
1241,51,42,0,561,51
1991,101,2101,0,2121,101
1921,31,105,0,217,31
742,52,221,116,1196,0
712,22,101,0,242,22
2,12,36,36,84,0
1790,100,161,0,0,100
1111,21,18,4,105,17
732,42,18,0,798,42
762,72,541,0,2232,72
752,62,887,163,1674,0
62,72,993,0,2232,72
72,82,1193,49,2870,33
772,82,1466,148,2870,0
782,92,342,148,3588,0
822,32,169,65,480,0
832,42,108,94,798,0
942,52,552,105,1196,0
1632,42,199,34,798,8
1812,22,90,45,242,0
33,43,380,7,1290,36
1922,32,197,72,480,0
103,13,49,0,156,13
233,43,19,106,1290,0
253,63,81,0,2646,63
842,52,464,105,1196,0
273,83,385,100,4482,0
343,53,552,0,1908,53
383,93,390,0,5580,93
563,73,496,0,3504,73
1033,43,266,0,1290,43
783,93,273,0,5580,93
873,83,595,0,4482,83
1333,43,114,0,1290,43
1092,102,926,20,4386,82
1543,53,92,86,1908,0
683,93,351,112,5580,0
1253,63,189,11,2646,52
862,72,150,14,2232,58
1643,53,437,0,1908,53
1292,102,2357,288,4386,0
1451,61,327,24,793,37
262,72,0,0,2232,72
332,42,343,0,798,42
282,92,762,166,3588,0
302,12,12,0,84,12
272,82,750,0,2870,82
1460,70,735,0,0,70
542,52,530,62,1196,0
292,102,1557,0,4386,102
622,32,211,45,480,0
1471,81,398,65,1377,16
652,62,783,150,1674,0
252,62,130,0,1674,62
662,72,120,28,2232,44
1662,72,421,101,2232,0
1781,91,1413,201,1729,0
462,72,150,0,2232,72
1640,50,203,0,0,50
31,41,275,25,369,16
1051,61,226,0,793,61
1021,31,198,43,217,0
1192,102,1389,20,4386,82
1592,102,0,288,4386,0
1801,11,15,20,33,0
981,91,1711,0,1729,91
582,92,1752,0,3588,92
1971,81,1095,16,1377,65
661,71,146,43,1065,28
991,101,535,141,2121,0
1380,90,363,180,0,0
721,31,211,88,217,0
831,41,292,16,369,25
1352,62,495,50,1674,12
1112,22,10,0,242,22
1510,20,66,48,0,0
1712,22,101,36,242,0
1822,32,0,72,480,0
1472,82,613,32,2870,50
1742,52,552,105,1196,0
792,102,1684,288,4386,0
512,22,10,8,242,14
572,82,170,0,2870,82
310,20,0,4,0,16
722,32,239,72,480,0
692,102,2020,122,4386,0
922,32,225,6,480,26
992,102,1347,122,4386,0
852,62,626,138,1674,0
53,63,189,76,2646,0
193,103,1290,250,6798,0
173,83,945,117,4482,0
433,43,152,16,1290,27
823,33,225,68,792,0
1093,103,1419,187,6798,0
1223,33,60,61,792,0
1513,23,0,38,414,0
1423,33,240,0,792,33
1443,53,667,86,1908,0
1583,93,1365,0,5580,93
1473,83,1190,0,4482,83
1242,52,353,148,1196,0
1832,42,380,34,798,8
93,103,1032,292,6798,0
163,73,217,0,3504,73
472,82,579,66,2870,16
1570,80,96,0,0,80
502,12,24,0,84,12
1820,30,61,72,0,0
152,62,261,0,1674,62
532,42,217,120,798,0
1290,100,1732,220,0,0
401,11,5,32,33,0
1970,80,678,0,0,80
1740,50,0,0,0,50
623,33,240,54,792,0
633,43,19,25,1290,18
593,103,1376,0,6798,103
613,23,66,0,414,23
1432,42,18,59,798,0
1522,32,70,0,480,32
1562,72,872,28,2232,44
1542,52,132,0,1196,52
1532,42,271,50,798,0
962,72,782,116,2232,0
1462,72,1143,145,2232,0
912,22,30,8,242,14
1492,102,1936,288,4386,0
1622,32,211,99,480,0
1642,52,66,148,1196,0
1512,22,30,13,242,9
293,103,0,0,6798,103
373,83,980,0,4482,83
413,23,77,0,414,23
353,63,648,167,2646,0
313,23,44,0,414,23
1612,22,80,59,242,0
1722,32,239,99,480,0
1043,53,529,0,1908,53
1702,12,18,36,84,0
533,43,304,0,1290,43
1083,93,858,264,5580,0
493,103,1462,250,6798,0
553,63,216,24,2646,39
1732,42,307,59,798,0
1752,62,548,24,1674,38
1772,82,954,0,2870,82
1862,72,722,43,2232,29
333,43,171,0,1290,43
393,103,0,0,6798,103
453,63,216,0,2646,63
473,83,315,151,4482,0
573,83,630,185,4482,0
513,23,11,43,414,0
703,13,49,22,156,0
763,73,155,0,3504,73
773,83,455,117,4482,0
793,103,1720,292,6798,0
843,53,92,108,1908,0
863,73,558,223,3504,0
933,43,76,0,1290,43
903,13,0,25,156,0
963,73,1054,0,3504,73
973,83,1120,236,4482,0
983,93,1794,169,5580,0
1013,23,132,48,414,0
1123,33,225,26,792,7
1183,93,1872,112,5580,0
1283,93,273,0,5580,93
1303,13,7,40,156,0
1413,23,110,0,414,23
1483,93,975,0,5580,93
1113,23,33,0,414,23
1103,13,42,40,156,0
1593,103,2322,292,6798,0
1623,33,180,0,792,33
391,101,2101,141,2121,0
1553,63,162,0,2646,63
1061,71,817,0,1065,71
1231,41,34,0,369,41
1081,91,0,0,1729,91
1503,13,7,43,156,0
1011,21,36,38,105,0
1101,11,10,35,33,0
1902,12,12,36,84,0
1002,12,12,25,84,0
1952,62,469,0,1674,62
23,33,105,5,792,28
1982,92,190,74,3588,18
1932,42,90,8,798,34
43,53,299,0,1908,53
1962,72,451,174,2232,0
63,73,62,0,3504,73
1872,82,170,98,2870,0
1852,62,182,0,1674,62
13,23,99,13,414,10
123,33,150,54,792,0
223,33,150,5,792,28
243,53,598,163,1908,0
263,73,1178,118,3504,0
303,13,0,34,156,0
283,93,1599,17,5580,76
323,33,105,103,792,0
363,73,310,43,3504,30
403,13,7,22,156,0
443,53,437,31,1908,22
463,73,341,88,3504,0
503,13,28,10,156,3
483,93,156,0,5580,93
523,33,270,19,792,14
603,13,7,22,156,0
583,93,936,0,5580,93
543,53,322,0,1908,53
423,33,255,82,792,0
643,53,552,0,1908,53
1012,22,121,0,242,22
693,103,1849,40,6798,63
723,33,135,89,792,0
733,43,95,115,1290,0
743,53,621,0,1908,53
753,63,135,0,2646,63
713,23,55,0,414,23
1142,52,0,84,1196,0
833,43,418,25,1290,18
953,63,837,128,2646,0
1003,13,49,28,156,0
1153,63,216,167,2646,0
1163,73,775,178,3504,0
1173,83,210,0,4482,83
1193,103,559,0,6798,103
1233,43,380,25,1290,18
1273,83,1155,0,4482,83
1383,93,1599,150,5580,0
1393,103,2236,250,6798,0
1453,63,756,0,2646,63
1493,103,1290,187,6798,0
663,73,186,133,3504,0
653,63,837,167,2646,0
1603,13,21,25,156,0
803,13,21,0,156,13
813,23,44,33,414,0
1213,23,11,58,414,0
1293,103,2064,313,6798,0
1573,83,490,49,4482,34
1313,23,132,0,414,23
872,82,238,198,2870,0
902,12,30,7,84,5
1653,63,486,180,2646,0
1663,73,93,0,3504,73
892,102,1178,0,4386,102
1272,82,647,32,2870,50
1322,32,126,38,480,0
1332,42,144,68,798,0
1342,52,552,0,1196,52
1372,82,647,182,2870,0
1442,52,22,159,1196,0
1162,72,331,174,2232,0
1402,12,30,4,84,8
1811,21,92,34,105,0
102,12,12,2,84,10
52,62,704,74,1674,0
1271,81,99,0,1377,81
392,102,1894,61,4386,41
1802,12,12,0,84,12
1942,52,198,105,1196,0
114,24,107,45,624,0
1792,102,210,20,4386,82
3,13,35,1,156,12
1882,92,1104,55,3588,37
1912,22,30,13,242,9
113,23,11,0,414,23
133,43,266,61,1290,0
673,83,1050,117,4482,0
1683,93,1248,283,5580,0
1713,23,132,73,414,0
1743,53,667,152,1908,0
1763,73,930,163,3504,0
1853,63,27,141,2646,0
44,54,501,144,2700,0
1104,14,0,0,252,14
1574,84,323,135,6216,0
1624,34,238,85,1156,0
1614,24,47,0,624,24
1684,94,718,56,7708,38
1714,24,23,14,624,10
1834,44,417,0,1848,44
1904,14,0,40,252,0
315,25,51,0,875,25
1694,104,1229,0,9360,104
943,53,299,42,1908,11
365,75,1049,168,6375,0
415,25,102,58,875,0
395,105,1612,169,12075,0
1433,43,285,0,1290,43
1463,73,1085,208,3504,0
1063,73,589,163,3504,0
1613,23,22,33,414,0
1403,13,28,28,156,0
1633,43,95,124,1290,0
1523,33,15,12,792,21
1182,92,762,18,3588,74
1883,93,117,0,5580,93
1672,82,545,182,2870,0
374,84,1364,15,6216,69
504,14,39,40,252,0
604,14,23,0,252,14
594,104,1360,274,9360,0
1972,82,409,165,2870,0
1943,53,23,163,1908,0
1993,103,1591,0,6798,103
284,94,997,0,7708,94
244,54,621,0,2700,54
1723,33,135,61,792,0
564,74,957,13,4884,61
494,104,921,0,9360,104
634,44,298,71,1848,0
554,64,306,103,3712,0
1124,34,222,0,1156,34
1214,24,107,66,624,0
1554,64,279,0,3712,64
4,14,15,27,252,0
675,85,772,33,8075,52
54,64,111,0,3712,64
1094,104,1843,125,9360,0
1264,74,127,104,4884,0
154,64,167,130,3712,0
1274,84,1041,0,6216,84
1514,24,154,14,624,10
1564,74,542,44,4884,30
1604,14,47,8,252,6
1434,44,179,0,1848,44
1644,54,430,121,2700,0
913,23,121,38,414,0
1724,34,79,20,1156,14
923,33,150,0,792,33
1774,84,718,50,6216,34
1884,94,1715,0,7708,94
1914,24,11,61,624,0
1944,54,454,144,2700,0
5,15,70,40,375,0
75,85,1582,0,8075,85
55,65,547,78,4875,0
45,55,0,44,3575,11
95,105,672,256,12075,0
215,25,64,69,875,0
165,75,491,121,6375,0
85,95,2121,114,9975,0
665,75,1082,215,6375,0
275,85,699,0,8075,85
195,105,537,0,12075,105
83,93,1833,0,5580,93
112,22,70,0,242,22
1023,33,90,40,792,0
325,35,151,80,1575,0
203,13,7,43,156,0
1134,44,258,0,1848,44
1294,104,1229,83,9360,21
1744,54,167,121,2700,0
853,63,702,0,2646,63
1042,52,442,105,1196,0
584,94,319,0,7708,94
674,84,215,0,6216,84
254,64,139,25,3712,39
1764,74,765,211,4884,0
1954,64,446,11,3712,53
185,95,2039,0,9975,95
1243,53,46,0,1908,53
1353,63,729,0,2646,63
993,103,258,208,6798,0
405,15,8,1,375,14
1203,13,49,0,156,13
1143,53,138,0,1908,53
1323,33,30,26,792,7
1343,53,621,31,1908,22
1373,83,1330,49,4482,34
1753,63,459,0,2646,63
1733,43,57,0,1290,43
1783,93,1131,0,5580,93
1843,53,92,97,1908,0
1893,103,1419,166,6798,0
1813,23,66,58,414,0
1983,93,234,131,5580,0
354,64,306,0,3712,64
1933,43,399,34,1290,9
1913,23,132,8,414,15
1953,63,621,141,2646,0
84,94,1436,0,7708,94
34,44,238,0,1848,44
124,34,254,0,1156,34
104,14,39,1,252,13
144,54,478,155,2700,0
264,74,478,0,4884,74
294,104,1317,231,9360,0
324,34,63,27,1156,7
224,34,47,107,1156,0
204,14,7,8,252,6
1052,62,861,100,1674,0
384,94,957,75,7708,19
394,104,2151,210,9360,0
534,44,437,53,1848,0
1484,94,1077,0,7708,94
1804,14,23,0,252,14
305,15,0,43,375,0
565,75,1344,13,6375,62
1773,83,910,253,4482,0
474,84,1148,205,6216,0
1793,103,731,0,6798,103
1782,92,1333,185,3588,0
644,54,573,121,2700,0
1803,13,0,22,156,0
1823,33,225,0,792,33
1992,102,336,309,4386,0
1833,43,76,0,1290,43
1873,83,0,185,4482,0
1903,13,0,0,156,13
1973,83,1435,0,4482,83
24,34,111,0,1156,34
164,74,223,211,4884,0
194,104,87,231,9360,0
304,14,15,17,252,0
314,24,23,0,624,24
1304,14,55,5,252,9
865,75,295,29,6375,46
945,55,372,101,3575,0
875,85,1324,68,8075,17
614,24,119,71,624,0
624,34,15,0,1156,34
704,14,0,0,252,14
694,104,526,0,9360,104
744,54,0,0,2700,54
754,64,306,117,3712,0
804,14,23,11,252,3
834,44,278,0,1848,44
864,74,1084,104,4884,0
914,24,154,77,624,0
894,104,351,146,9360,0
974,84,1041,118,6216,0
1014,24,130,45,624,0
1074,84,682,0,6216,84
1084,94,199,151,7708,0
904,14,55,23,252,0
1114,24,154,0,624,24
1164,74,191,13,4884,61
1184,94,1037,0,7708,94
1144,54,71,0,2700,54
1324,34,206,0,1156,34
1334,44,457,127,1848,0
1284,94,399,0,7708,94
1923,33,75,26,792,7
1354,64,864,117,3712,0
1444,54,191,121,2700,0
1494,104,570,0,9360,104
234,44,358,99,1848,0
1504,14,39,5,252,9
1544,54,597,87,2700,0
1534,44,19,0,1848,44
214,24,142,0,624,24
344,54,645,87,2700,0
1634,44,79,109,1848,0
1584,94,877,0,7708,94
1654,64,753,25,3712,39
1664,74,606,0,4884,74
414,24,71,29,624,0
1704,14,31,0,252,14
1814,24,47,14,624,10
814,24,95,55,624,0
844,54,549,167,2700,0
1794,104,1580,19,9360,85
944,54,47,144,2700,0
1964,74,1052,89,4884,0
884,94,758,17,7708,77
125,35,67,20,1575,15
25,35,33,65,1575,0
145,55,595,159,3575,0
1854,64,474,103,3712,0
1064,74,0,89,4884,0
285,95,285,251,9975,0
245,55,471,44,3575,11
235,45,124,0,2475,45
265,75,1115,184,6375,0
335,45,145,0,2475,45
1194,104,395,0,9360,104
355,65,288,25,4875,40
1454,64,864,0,3712,64
1892,102,968,61,4386,41
1682,92,1714,0,3588,92
375,85,919,137,8075,0
1404,14,47,0,252,14
73,83,455,185,4482,0
153,63,297,141,2646,0
1703,13,0,22,156,0
1693,103,1462,124,6798,0
1784,94,319,229,7708,0
1673,83,665,15,4482,68
1874,84,574,0,6216,84
35,45,499,64,2475,0
1863,73,620,0,3504,73
94,104,1141,83,9360,21
1963,73,1147,193,3504,0
155,65,892,105,4875,0
174,84,1364,153,6216,0
134,44,139,26,1848,18
184,94,598,0,7708,94
274,84,1364,118,6216,0
334,44,238,62,1848,0
555,65,115,38,4875,27
404,14,0,5,252,9
364,74,414,0,4884,74
444,54,0,87,2700,0
484,94,119,37,7708,57
535,45,499,64,2475,0
654,64,641,183,3712,0
664,74,829,0,4884,74
714,24,83,45,624,0
724,34,254,85,1156,0
764,74,414,0,4884,74
794,104,263,167,9360,0
824,34,47,0,1156,34
964,74,765,196,4884,0
874,84,179,135,6216,0
924,34,143,13,1156,21
984,94,1556,75,7708,19
1004,14,55,0,252,14
1034,44,199,118,1848,0
1024,34,270,0,1156,34
1044,54,430,21,2700,33
1054,64,613,0,3712,64
1314,24,11,77,624,0
1344,54,262,9,2700,45
1374,84,1543,67,6216,17
1364,74,414,165,4884,0
1394,104,878,0,9360,104
1424,34,47,41,1156,0
1464,74,925,29,4884,45
1414,24,0,71,624,0
1524,34,143,27,1156,7
1674,84,35,135,6216,0
1754,64,530,0,3712,64
1984,94,917,37,7708,57
1934,44,238,7,1848,37
1994,104,351,41,9360,63
65,75,1312,0,6375,75
1705,15,0,36,375,0
446,56,0,9,4536,47
115,25,0,69,875,0
225,35,201,95,1575,0
345,55,74,136,3575,0
385,95,897,0,9975,95
425,35,235,50,1575,0
475,85,662,0,8075,85
465,75,1312,231,6375,0
495,105,2553,213,12075,0
525,35,0,95,1575,0
645,55,372,0,3575,55
635,45,83,7,2475,38
74,84,179,0,6216,84
715,25,128,3,875,22
705,15,61,29,375,0
14,24,11,0,624,24
255,65,115,78,4875,0
684,94,558,248,7708,0
1174,84,538,67,6216,17
1073,83,805,253,4482,0
1384,94,1955,56,7708,38
1844,54,191,0,2700,54
1974,84,789,15,6216,69
205,15,17,43,375,0
295,105,1702,126,12075,0
585,95,897,0,9975,95
883,93,1677,55,5580,38
64,74,988,119,4884,0
1244,54,71,21,2700,33
1594,104,87,253,9360,0
1864,74,893,104,4884,0
1474,84,1543,0,6216,84
1824,34,286,107,1156,0
1894,104,43,0,9360,104
105,15,0,47,375,0
893,103,1935,229,6798,0
175,85,110,0,8075,85
1185,95,1672,56,9975,39
1234,44,457,81,1848,0
1734,44,39,0,1848,44
434,44,39,137,1848,0
1924,34,111,0,1156,34
1692,102,2315,267,4386,0
574,84,107,222,6216,0
695,105,2195,234,12075,0
544,54,47,144,2700,0
524,34,63,70,1156,0
734,44,199,62,1848,0
784,94,1875,56,7708,38
934,44,358,99,1848,0
954,64,195,0,3712,64
994,104,834,0,9360,104
1154,64,669,0,3712,64
1224,34,95,92,1156,0
1254,64,139,51,3712,13
1204,14,55,11,252,3
774,84,1077,239,6216,0
805,15,44,22,375,0
845,55,694,89,3575,0
